id,name
2,Goldberg
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
FORTS,True,0.72,0.0,True,0.28,RTS,future
FORTS,True,0.72,0.0,True,0.28,RVI,future
FORTS,True,0.72,0.0,True,0.28,SBPR,future
FORTS,True,0.72,0.0,True,0.28,SBRF,future
FORTS,True,0.72,0.0,True,0.28,Si,future
FORTS,True,0.72,0.0,True,0.28,SILV,future
FORTS,True,0.72,0.0,True,0.28,SNGP,future
FORTS,True,0.72,0.0,True,0.28,SNGR,future
FORTS,True,0.72,0.0,True,0.28,TATN,future
FORTS,True,0.72,0.0,True,0.28,TRNF,future
FORTS,True,0.72,0.0,True,0.28,UCHF,future
FORTS,True,0.72,0.0,True,0.28,UJPY,future
FORTS,True,0.72,0.0,True,0.28,VTBR,future
HKEX,False,10.385,0.0,True,1.615,,future
HKEX,True,10.385,0.0,True,1.615,CUS,future
